parent_sku,store,store_name,product,category,subcategory,sizes_selling,sizes_total,product_age_weeks,stock_on_hand,weeks_of_cover,current_list_price,current_price,current_discount,current_velocity,recommended_price,recommended_discount,expected_velocity,current_weekly_rev,expected_weekly_rev,rev_delta,urgency,reasons,model_confidence,confidence_tier,action_type
PM39657902,2014,Bold Marina,Suede XL AC Inf Black White,Footwear,Street,1,7,107,,,46990,44990,0%,1.0,34990,30%,3.0,44990,104970,59980,MEDIUM,Product is 107 weeks old; Discounted in other channels,0.999,MEDIUM,decrease
NIFQ4359010,2017,Bold Independencia,SHORT M NK CLUB KNIT,Apparel,Street,1,4,111,,,38990,39990,0%,1.0,24990,40%,4.0,39990,99960,59970,MEDIUM,Product is 111 weeks old; Discounted in other channels,0.999,MEDIUM,decrease
NIFV5296010,2030,Bold Alameda,CAP U J PRO CAP S FB JUMPMAN T/M/L,Equipment,Street,1,1,111,,,29990,29990,0%,4.0,24990,15%,7.2,119960,179928,59968,MEDIUM,Product is 111 weeks old,0.994,HIGH,decrease
NIFZ2055222,2016,Bold Temuco,BEANIE U J TERRA ESS,Equipment,Street,1,1,49,,,29990,19990,30%,1.2,16990,40%,5.0,24987,84950,59962,MEDIUM,Product is 49 weeks old,1.0,MEDIUM,decrease
NP9A0631R78,2007,Bold Plaza Sur,BANANO JAN AIRBORNE,Equipment,Street,1,1,166,,,26990,19990,30%,1.2,16990,40%,5.0,24987,84950,59962,MEDIUM,Product is 166 weeks old,1.0,MEDIUM,decrease
NP9A0631R78,2029,Bold Parque Arauco II,BANANO JAN AIRBORNE,Equipment,Street,1,1,166,,,26990,19990,30%,1.2,16990,40%,5.0,24987,84950,59962,MEDIUM,Product is 166 weeks old,1.0,MEDIUM,decrease
NIHV0133010,2026,Bold La Serena,POLERA M NSW M90 CNCT 2,Apparel,Street,2,4,14,,,36990,34990,0%,3.1,29990,15%,5.5,107885,166444,58558,MEDIUM,Velocity declining; In decline stage,0.709,MEDIUM,decrease
NIIM9795010,2037,Bold Vespucio III,M J JUMPMAN FLC PO Blk,Apparel,Street,1,4,26,,,54990,54990,0%,2.2,44990,15%,4.0,123727,182209,58482,MEDIUM,Product is 26 weeks old; Discounted in other channels,0.988,HIGH,decrease
NIDX9632918,2011,Bold Imperio,TRIPACK U J ED CUSH POLY CRE 144,Equipment,Street,2,3,100,,,24990,24990,0%,2.2,16990,30%,6.8,56227,114682,58455,MEDIUM,Product is 100 weeks old; Discounted in other channels,0.995,HIGH,decrease
NE11591046,2017,Bold Independencia,CAP 950 LA DODGERS BLACK WHITE,Equipment,JOCKEY,1,1,159,,,38990,29990,20%,1.2,24990,30%,3.8,37487,93712,56225,MEDIUM,Product is 159 weeks old,1.0,MEDIUM,decrease
NP95D313023,2002,Bold Plaza Norte,SHORT JDB MJ DF SPORT DIAMOND BLCK,Apparel,Street,1,4,79,,,34990,29990,20%,1.2,24990,30%,3.8,37487,93712,56225,MEDIUM,Product is 79 weeks old,1.0,MEDIUM,decrease
