parent_sku,store,store_name,product,category,subcategory,sizes_selling,sizes_total,product_age_weeks,stock_on_hand,weeks_of_cover,current_list_price,current_price,current_discount,current_velocity,recommended_price,recommended_discount,expected_velocity,current_weekly_rev,expected_weekly_rev,rev_delta,urgency,reasons,model_confidence,action_type
HK1170332BLK,AB75,Centro Logistico Hoka,M TRAIL RUN CREW SOCK BLK,Equipment,SOCKS,1,4,4,4.0,4.0,19990,16990,15%,1.0,19990,Full price,0.8,16992,14992,-1999,INCREASE,Selling 1.0 u/sem at 15% off -- test higher price,0.993,increase
HK1122930MPP,7501,Hoka Costanera,M NO-SHOW RUN SOCK 3-PACK MPP,Equipment,SOCKS,1,3,4,1.0,1.0,34990,29990,15%,1.0,34990,Full price,0.8,29750,26242,-3507,INCREASE,Selling 1.0 u/sem at 15% off -- test higher price,0.999,increase
HK1175771WDMS,7501,Hoka Costanera,AIROLITE SHORT SLEEVE 2.0 WDMS U,Apparel,Basketball,1,5,0,1.0,1.0,49990,34990,30%,1.0,39990,20%,0.8,35000,29992,-5007,INCREASE,Selling 1.0 u/sem at 30% off -- test higher price,0.104,increase
HK1170330BLK,7502,Hoka Marina,M TRAIL RUN HAT BLK,Equipment,HEADWEAR,1,1,3,1.0,0.7,37990,31990,15%,1.5,37990,Full price,1.1,48442,42738,-5703,INCREASE,Selling 1.5 u/sem at 15% off -- test higher price; Size curve healthy (1/1),0.737,increase
HK1175770BLK,7501,Hoka Costanera,M AIROLITE TANK 2.0 BLK,Apparel,Running,1,1,0,1.0,1.0,54990,43990,20%,1.0,46990,15%,0.8,44000,35242,-8757,INCREASE,Selling 1.0 u/sem at 20% off -- test higher price; Size curve healthy (1/1),0.027,increase
HK1175773BLK,7501,Hoka Costanera,W AIROLITE TANK 2.0 BLK,Apparel,Running,1,1,0,1.0,1.0,54990,43990,20%,1.0,46990,15%,0.8,44000,35242,-8757,INCREASE,Selling 1.0 u/sem at 20% off -- test higher price; Size curve healthy (1/1),0.027,increase
HK1175771BLK,7502,Hoka Marina,AIROLITE SHORT SLEEVE 2.0 BLK U,Apparel,Basketball,2,4,20,2.0,1.0,49990,34990,30%,2.0,39990,20%,1.5,70000,59985,-10015,INCREASE,Selling 2.0 u/sem at 30% off -- test higher price,0.995,increase
HK1147790AFF,7502,Hoka Marina,MACH 6 AFF M,Footwear,Running,1,10,17,1.0,1.0,139990,83990,40%,1.0,97990,30%,0.8,84000,73492,-10507,INCREASE,Selling 1.0 u/sem at 40% off -- test higher price,0.989,increase
HK1176972BLK,7502,Hoka Marina,GLIDE 7 SHORT 2IN1 BLK U,Apparel,Basketball,1,4,23,1.0,1.0,74990,59990,20%,1.0,63990,15%,0.8,60000,47992,-12007,INCREASE,Selling 1.0 u/sem at 20% off -- test higher price,0.993,increase
HK1176974BLK,7501,Hoka Costanera,GLIDE 4 SHORT BLK U,Apparel,Basketball,1,4,20,1.0,0.8,67990,60990,15%,1.2,67990,Full price,0.9,76493,63740,-12753,INCREASE,Selling 1.2 u/sem at 15% off -- test higher price; Sales accelerating,0.999,increase
