centro,n_skuweeks,avg_actual_disc,avg_model_disc,avg_depth_delta,total_revenue
7501,3211,0.2250831913263593,0.23198958,0.0069063788647980295,487087882.0
AB75,2752,0.15646139377771034,0.16053428,0.0040728811700704625,425729171.0
7502,961,0.22934653954656595,0.23185797,0.002511425732195998,119287057.0
7599,176,0.22067250994544707,0.2192461,-0.0014264097767718602,24531139.0
