parent_sku,store,store_name,product,category,subcategory,sizes_selling,sizes_total,product_age_weeks,current_list_price,current_price,current_discount,current_velocity,recommended_price,recommended_discount,expected_velocity,current_weekly_rev,expected_weekly_rev,rev_delta,urgency,reasons,model_confidence,action_type
BMWSN074601W25,B059,Bamers Alto las Condes II,WOMEN MUNICH II BLACK 35,Footwear,Sneakers,2,6,63,24990,17990,30%,2.8,14990,40%,11.0,48125,164890,116765,MEDIUM,Product is 63 weeks old,0.999,decrease
BMWSS075378,B060,Bamers Marina Arauco II,WOMEN PIAMONTE LEATHER BEIGE 35,Footwear,Slipper,2,6,49,49990,41990,15%,2.5,39990,20%,5.5,106243,219945,113701,MEDIUM,Size curve breaking (33% attrition); Product is 49 weeks old,0.997,decrease
BMBTCL031980S2,B010,Bamers Portal Osorno,UNISEX AIRLINE NAVY WHITE 30,Footwear,Clogs,2,6,167,24990,24990,0%,3.2,14990,40%,13.0,81217,194870,113652,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.996,decrease
BMGKCL031958S3,B048,Bamers Parque Arauco II,GIRL AIRLINE LIGHT PINK,Footwear,Clogs,3,5,167,19990,19990,0%,4.0,11990,40%,16.0,79960,191840,111880,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.994,decrease
BMWSS075337W25,B010,Bamers Portal Osorno,WOMEN PIAMONTE LEATHER CARAMEL 36,Footwear,Slipper,2,6,50,49990,49990,0%,2.0,34990,30%,6.0,99980,209940,109960,MEDIUM,Size curve breaking (40% attrition); Product is 50 weeks old; Discounted in other channels,0.815,decrease
BMWSN079516W25,B052,Bamers Coquimbo,WOMEN NEW CANVAS PLATFORM II WHITE 38,Footwear,Sneakers,2,6,60,24990,17990,30%,2.5,14990,40%,10.0,43750,149900,106150,MEDIUM,Size curve breaking (33% attrition); Product is 60 weeks old,1.0,decrease
BMGKCL031958S3,B004,Bamers Plaza Antofagasta,GIRL AIRLINE LIGHT PINK,Footwear,Clogs,3,5,167,19990,19990,0%,3.8,11990,40%,15.0,74962,179850,104887,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.997,decrease
BMWBO075537W25,B059,Bamers Alto las Condes II,WOMEN BLAST MINI PLATF LEATH  CARAM 40,Footwear,Boots,2,6,50,59990,57990,0%,3.0,50990,15%,5.4,175473,275346,99872,MEDIUM,Product is 50 weeks old,0.965,decrease
BMBCL056180S2,B047,Bamers Plaza Norte II,BABY AIRLINE NAVY WHITE,Footwear,Clogs,4,6,167,16990,16990,0%,5.2,11990,30%,15.8,89197,188842,99645,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.992,decrease
BMBTCL031980S2,B056,Bamers Rosas,UNISEX AIRLINE NAVY WHITE 30,Footwear,Clogs,2,6,167,24990,24990,0%,2.8,14990,40%,11.0,68722,164890,96167,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.98,decrease
